chrom	start	end	cov_ancient	cov_modern	desert
1	1	500000	0.00734192037470726	0	TRUE
1	500001	1000000	0.0469761904761905	0.158975928896248	FALSE
1	1000001	1500000	0.141467661691542	0.245527073675249	FALSE
1	1500001	2000000	0.161	0.293733014441056	FALSE
1	2000001	2500000	0.159378673383711	0.283901282863182	FALSE
1	2500001	3000000	0.383296863603209	0.344513371560028	FALSE
1	3000001	3500000	0.386994301994302	0.384492907230934	FALSE
1	3500001	4000000	0.302722323049002	0.303295339432997	FALSE
1	4000001	4500000	0.165780141843972	0.30875016255453	FALSE
1	4500001	5000000	0.162683780630105	0.154205638223325	FALSE
1	5000001	5500000	0.0546237494562853	0.157352339690667	FALSE
1	5500001	6000000	0.0882802013422819	0.196368684227968	FALSE
1	6000001	6500000	0.0775034293552812	0.251119097008268	FALSE
1	6500001	7000000	0.105737009544008	0.233364138228984	FALSE
1	7000001	7500000	0.0630535638970898	0.23581366381892	FALSE
1	7500001	8000000	0.0391878172588832	0.136721936784379	FALSE
1	8000001	8500000	0.0311225012813942	0.217565028734145	FALSE
1	8500001	9000000	0.0382003828972559	0.217511129219323	FALSE
1	9000001	9500000	0.0241969273743017	0.21928976809237	FALSE
1	9500001	10000000	0.0940712556208924	0.15749951999232	FALSE
1	10000001	10500000	0.0886783804430863	0.148882073812786	FALSE
1	10500001	11000000	0.0503772336201191	0.192256659293939	FALSE
1	11000001	11500000	0.0480090938616434	0.177331339019637	FALSE
1	11500001	12000000	0.032	0.192473026919314	FALSE
1	12000001	12500000	0.0558243340532757	0.142638299669154	FALSE
1	12500001	13000000	0.0376169265033408	0.12027705343444	FALSE
1	13000001	13500000	0.021029197080292	0.109397710587111	FALSE
1	13500001	14000000	0.0644645941278066	0.159974310408639	FALSE
1	14000001	14500000	0.0644662095984329	0.208221365549946	FALSE
1	14500001	15000000	0.075021018215787	0.189373172886242	FALSE
1	15000001	15500000	0.046927547462224	0.192675482674434	FALSE
1	15500001	16000000	0.0226791530944625	0.183144239650395	FALSE
1	16000001	16500000	0.0346346863468635	0.207543221909858	FALSE
1	16500001	17000000	0.0223375624759708	0.186664837887812	FALSE
1	17000001	17500000	0.0385486605629027	0.18059842844885	FALSE
1	17500001	18000000	0.0529116684841876	0.216040373867676	FALSE
1	18000001	18500000	0.0338228359717076	0.208771123661168	FALSE
1	18500001	19000000	0.0698996350364964	0.213409622805438	FALSE
1	19000001	19500000	0.0632875143184422	0.214814643980758	FALSE
1	19500001	20000000	0.0525166191832858	0.218745450418366	FALSE
1	20000001	20500000	0.036289592760181	0.218166622564932	FALSE
